,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
1770,3k,do,693,6.541029999,2.863707495,3.6,1.6,1.44,4560,3284,3113,TRUE,TRUE,TRUE,4.303707495
90,lcnl,asp,#N/A,#N/A,#N/A,10.69,3.16,4.276,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
92,3k,ass,#N/A,#N/A,#N/A,7.84,3.11,3.136,0,0,2,FALSE,TRUE,FALSE,
7479,3k,that,1383,7.232010332,2.109844913,5.529012,2.06,2.2116048,6087,6786,8610,TRUE,TRUE,TRUE,4.321449713
93,lcnl,at,799,6.683360946,2.708423806,4.037032,1.37,1.6148128,5635,5090,5491,TRUE,TRUE,TRUE,4.323236606
102,lcnl,awe,#N/A,#N/A,#N/A,9.06,3.87,3.624,0,2,3,FALSE,TRUE,FALSE,
7501,3k,they,1078,6.982862751,2.381666019,4.878935,1.87,1.951574,5819,5999,6632,TRUE,TRUE,TRUE,4.333240019
8246,3k,what,679,6.520621128,2.885973664,3.855863,1.37,1.5423452,4928,3885,3879,TRUE,TRUE,TRUE,4.428318864
108,3k,awn,#N/A,#N/A,#N/A,10.86,4.18,4.344,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3154,3k,have,638,6.458338283,2.953924521,3.72,1.96,1.488,4736,3798,4251,TRUE,TRUE,TRUE,4.441924521
2808,3k,go,547,6.304448802,3.121818622,3.37,1.46,1.348,3313,2054,1710,TRUE,TRUE,TRUE,4.469818622
3226,3k,her,1026,6.933423026,2.435604977,5.092075,2.45,2.03683,4345,4828,5016,TRUE,TRUE,TRUE,4.472434977
3263,3k,him,555,6.318968114,3.105977989,3.429583,1.21,1.3718332,2780,2891,3176,TRUE,TRUE,TRUE,4.477811189
3983,3k,like,572,6.349138991,3.073061429,3.685351,1.89,1.4741404,3487,2649,2660,TRUE,TRUE,TRUE,4.547201829
8261,3k,when,675,6.514712691,2.892419794,4.239515,1.8,1.695806,2676,3114,3651,TRUE,TRUE,TRUE,4.588225794
130,3k,badge,#N/A,#N/A,#N/A,6.11,1.81,2.444,0,1,1,FALSE,TRUE,FALSE,
6618,lcnl,so,892,6.793466133,2.588298563,5.14536,1.85,2.058144,2778,2683,2882,TRUE,TRUE,TRUE,4.646442563
135,3k,bail,#N/A,#N/A,#N/A,10.16,5.04,4.064,0,0,1,FALSE,TRUE,FALSE,
141,unl,bairn,#N/A,#N/A,#N/A,12,2,4.8,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
330,3k,big,383,5.948034989,3.51066766,2.89,1.08,1.156,2826,1342,969,TRUE,TRUE,TRUE,4.66666766
144,lcnl,baits,#N/A,#N/A,#N/A,7.78,2.41,3.112,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
6015,3k,see,382,5.945420609,3.513519961,3.06,1.43,1.224,3548,2167,2099,TRUE,TRUE,TRUE,4.737519961
8570,3k,your,510,6.234410726,3.198230472,4.100974,1.92,1.6403896,2554,2406,2815,TRUE,TRUE,TRUE,4.838620072
151,3k,bale,#N/A,#N/A,#N/A,8.2,2.5,3.28,0,0,1,FALSE,TRUE,FALSE,
153,lcnl,balk,#N/A,#N/A,#N/A,12.93,4.5,5.172,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1647,lcnl,day,376,5.929589143,3.530792159,3.5,1.58,1.4,1977,1582,1439,TRUE,TRUE,TRUE,4.930792159
158,lcnl,balm,#N/A,#N/A,#N/A,10.28,5.27,4.112,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
160,unl,bam,#N/A,#N/A,#N/A,5.5,2.85,2.2,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
161,3k,ban,#N/A,#N/A,#N/A,10.11,3.56,4.044,0,0,0,FALSE,TRUE,FALSE,
869,3k,can,507,6.228511004,3.204667094,4.32,2.26,1.728,5068,2608,2656,TRUE,TRUE,TRUE,4.932667094
164,lcnl,bane,#N/A,#N/A,#N/A,9.6,2.92,3.84,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2690,3k,get,331,5.802118375,3.669863328,3.17,1.29,1.268,3482,2259,1973,TRUE,TRUE,TRUE,4.937863328
237,lcnl,be,674,6.513230111,2.894037296,5.11,3.23,2.044,3366,3618,4161,TRUE,TRUE,TRUE,4.938037296
172,unl,banns,#N/A,#N/A,#N/A,12.15,3.21,4.86,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
175,unl,bap,#N/A,#N/A,#N/A,11.75,3.39,4.7,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7496,3k,there,693,6.541029999,2.863707495,5.25193,2.05,2.100772,3255,3310,3699,TRUE,TRUE,TRUE,4.964479495
177,lcnl,barb,#N/A,#N/A,#N/A,9.877068,3.62,3.9508272,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2829,3k,good,366,5.902633333,3.560201066,3.55,1.61,1.42,1989,1342,1322,TRUE,TRUE,TRUE,4.980201066
180,3k,bard,#N/A,#N/A,#N/A,12.86,3.03,5.144,0,0,2,FALSE,TRUE,FALSE,
3375,3k,house,310,5.736572297,3.741374387,3.16,1.07,1.264,1821,1217,1032,TRUE,TRUE,TRUE,5.005374387
8171,lcnl,we,610,6.413458957,3.002888063,5.03879,1.66,2.015516,4846,3286,3235,TRUE,TRUE,TRUE,5.018404063
